標題,筆記,網址,標籤,留言
,,,,
哈柔廚房 早午餐,,https://www.google.com/maps/place/%E5%93%88%E6%9F%94%E5%BB%9A%E6%88%BF+%E6%97%A9%E5%8D%88%E9%A4%90/data=!4m2!3m1!1s0x3442af252ccae04f:0x3bcda74bbe8bbd63,,
早安勇士(最後點餐16點整前、假日無訂位),,https://www.google.com/maps/place/%E6%97%A9%E5%AE%89%E5%8B%87%E5%A3%AB(%E6%9C%80%E5%BE%8C%E9%BB%9E%E9%A4%9016%E9%BB%9E%E6%95%B4%E5%89%8D%E3%80%81%E5%81%87%E6%97%A5%E7%84%A1%E8%A8%82%E4%BD%8D)/data=!4m2!3m1!1s0x3442ae5025c7c6f7:0x3234425c69047c25,,
矮仔財滷肉飯,,https://www.google.com/maps/place/%E7%9F%AE%E4%BB%94%E8%B2%A1%E6%BB%B7%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442ae50be428121:0x815cab5b3c3bfb8,,
漢奇肉羹店,,https://www.google.com/maps/place/%E6%BC%A2%E5%A5%87%E8%82%89%E7%BE%B9%E5%BA%97/data=!4m2!3m1!1s0x3442ae50df5501d1:0x967c7ac0e771d8c1,,
阿輝伯蘿蔔絲餅,,https://www.google.com/maps/place/%E9%98%BF%E8%BC%9D%E4%BC%AF%E8%98%BF%E8%94%94%E7%B5%B2%E9%A4%85/data=!4m2!3m1!1s0x3442ae50c74c90c9:0xbc41c3e59821fb60,,
小金魚奶茶咖啡館,,https://www.google.com/maps/place/%E5%B0%8F%E9%87%91%E9%AD%9A%E5%A5%B6%E8%8C%B6%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m2!3m1!1s0x3442ae507e263c3d:0xdc7771c6938a0cf8,,
