標題,筆記,網址,標籤,留言
,,,,
新泰路米苔目,,https://www.google.com/maps/place/%E6%96%B0%E6%B3%B0%E8%B7%AF%E7%B1%B3%E8%8B%94%E7%9B%AE/data=!4m2!3m1!1s0x3442a874ecbf9ba7:0x55f2244fcd2ef5b7,,
Café32 |頭份咖啡廳|咖啡|手沖|咖啡廳|易經|寵物友善|店狗|英式鹹派|薄皮披薩|問事咖啡廳,,https://www.google.com/maps/place/Caf%C3%A932+%7C%E9%A0%AD%E4%BB%BD%E5%92%96%E5%95%A1%E5%BB%B3%7C%E5%92%96%E5%95%A1%7C%E6%89%8B%E6%B2%96%7C%E5%92%96%E5%95%A1%E5%BB%B3%7C%E6%98%93%E7%B6%93%7C%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%7C%E5%BA%97%E7%8B%97%7C%E8%8B%B1%E5%BC%8F%E9%B9%B9%E6%B4%BE%7C%E8%96%84%E7%9A%AE%E6%8A%AB%E8%96%A9%7C%E5%95%8F%E4%BA%8B%E5%92%96%E5%95%A1%E5%BB%B3/data=!4m2!3m1!1s0x34684d681bdf72ab:0x575c98a11dbefde,,
四方鮮乳牧場,,https://www.google.com/maps/place/%E5%9B%9B%E6%96%B9%E9%AE%AE%E4%B9%B3%E7%89%A7%E5%A0%B4/data=!4m2!3m1!1s0x3469b4adcbb86b39:0x1b7792ecdf8522ea,,
揪享食（炒飯麵熱炒）,,https://www.google.com/maps/place/%E6%8F%AA%E4%BA%AB%E9%A3%9F%EF%BC%88%E7%82%92%E9%A3%AF%E9%BA%B5%E7%86%B1%E7%82%92%EF%BC%89/data=!4m2!3m1!1s0x34684ddb1616a75b:0x741b962b3cb9f169,,
蘆竹湳古厝 | 團體(旅行社)參觀請預約❗❗,,https://www.google.com/maps/place/%E8%98%86%E7%AB%B9%E6%B9%B3%E5%8F%A4%E5%8E%9D+%7C+%E5%9C%98%E9%AB%94(%E6%97%85%E8%A1%8C%E7%A4%BE)%E5%8F%83%E8%A7%80%E8%AB%8B%E9%A0%90%E7%B4%84%E2%9D%97%E2%9D%97/data=!4m2!3m1!1s0x3469b3292a484371:0x6be3329a3865fe4d,,
福州乾拌麵,,https://www.google.com/maps/place/%E7%A6%8F%E5%B7%9E%E4%B9%BE%E6%8B%8C%E9%BA%B5/data=!4m2!3m1!1s0x3442a934a9a3e25f:0x2e969f59f5fc9b3a,,
小南門福州傻瓜乾麵 延平總店,,https://www.google.com/maps/place/%E5%B0%8F%E5%8D%97%E9%96%80%E7%A6%8F%E5%B7%9E%E5%82%BB%E7%93%9C%E4%B9%BE%E9%BA%B5+%E5%BB%B6%E5%B9%B3%E7%B8%BD%E5%BA%97/data=!4m2!3m1!1s0x3442a9a6b7668e21:0x8b5fcd648b9a5f9,,
樺林乾麵,,https://www.google.com/maps/place/%E6%A8%BA%E6%9E%97%E4%B9%BE%E9%BA%B5/data=!4m2!3m1!1s0x3442a9a731467967:0xf251188d2d91cc6b,,
