標題,筆記,網址,標籤,留言
,,,,
采宏牛肉麵-原建宏牛肉麵,,https://www.google.com/maps/place/%E9%87%87%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5-%E5%8E%9F%E5%BB%BA%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e656a081f:0x713c3942e872dca2,,
小吳牛肉麵,,https://www.google.com/maps/place/%E5%B0%8F%E5%90%B3%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e8737b2f7:0x6b6ee112e9e7c58b,,
牛耳精緻麵館,,https://www.google.com/maps/place/%E7%89%9B%E8%80%B3%E7%B2%BE%E7%B7%BB%E9%BA%B5%E9%A4%A8/data=!4m2!3m1!1s0x3442ac6ed1ee09a1:0xb74bbe9d296cafa4,,
山西刀削麵 （大直店）,紅燒牛肉麵,https://www.google.com/maps/place/%E5%B1%B1%E8%A5%BF%E5%88%80%E5%89%8A%E9%BA%B5+%EF%BC%88%E5%A4%A7%E7%9B%B4%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x3442adab8c980a9b:0xc8ddf366daef8942,,
江蘇老趙刀切麵,紅燒牛肉麵,https://www.google.com/maps/place/%E6%B1%9F%E8%98%87%E8%80%81%E8%B6%99%E5%88%80%E5%88%87%E9%BA%B5/data=!4m2!3m1!1s0x3442abd2e34bdfe3:0xc6af47184dcb5410,,
富宏牛肉麵,紅燒牛肉麵,https://www.google.com/maps/place/%E5%AF%8C%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e87e6d60b:0x2a5448854fda3233,,
