標題,筆記,網址,標籤,留言
,,,,
老瀋陽酸菜白肉鍋,,https://www.google.com/maps/place/%E8%80%81%E7%80%8B%E9%99%BD%E9%85%B8%E8%8F%9C%E7%99%BD%E8%82%89%E9%8D%8B/data=!4m2!3m1!1s0x346835daf212fbb3:0x65325cf40ffe9b00,,
火鍋世家新竹光華東店,,https://www.google.com/maps/place/%E7%81%AB%E9%8D%8B%E4%B8%96%E5%AE%B6%E6%96%B0%E7%AB%B9%E5%85%89%E8%8F%AF%E6%9D%B1%E5%BA%97/data=!4m2!3m1!1s0x346835cfae0ab6cf:0x2c4ce117c4b882ba,,
"老店薑母雞 八德旗艦店 全臺首創薑母雞-推薦在地必吃平價美食 火鍋(新竹東區)夜間宵夜 露營必備美食菜單 薑母鴨 薑母雞 狀元雞 首烏雞 淮蔘雞 
烏骨雞肉 溫體雞 火鍋 中藥燉煮 PTT",,https://www.google.com/maps/place/%E8%80%81%E5%BA%97%E8%96%91%E6%AF%8D%E9%9B%9E+%E5%85%AB%E5%BE%B7%E6%97%97%E8%89%A6%E5%BA%97+%E5%85%A8%E8%87%BA%E9%A6%96%E5%89%B5%E8%96%91%E6%AF%8D%E9%9B%9E-%E6%8E%A8%E8%96%A6%E5%9C%A8%E5%9C%B0%E5%BF%85%E5%90%83%E5%B9%B3%E5%83%B9%E7%BE%8E%E9%A3%9F+%E7%81%AB%E9%8D%8B(%E6%96%B0%E7%AB%B9%E6%9D%B1%E5%8D%80)%E5%A4%9C%E9%96%93%E5%AE%B5%E5%A4%9C+%E9%9C%B2%E7%87%9F%E5%BF%85%E5%82%99%E7%BE%8E%E9%A3%9F%E8%8F%9C%E5%96%AE+%E8%96%91%E6%AF%8D%E9%B4%A8+%E8%96%91%E6%AF%8D%E9%9B%9E+%E7%8B%80%E5%85%83%E9%9B%9E+%E9%A6%96%E7%83%8F%E9%9B%9E+%E6%B7%AE%E8%94%98%E9%9B%9E+%0A%E7%83%8F%E9%AA%A8%E9%9B%9E%E8%82%89+%E6%BA%AB%E9%AB%94%E9%9B%9E+%E7%81%AB%E9%8D%8B+%E4%B8%AD%E8%97%A5%E7%87%89%E7%85%AE+PTT/data=!4m2!3m1!1s0x346835fb54b8be3d:0x7666b272680c3d2e,,
漢王薑母鴨 新竹東大店,,https://www.google.com/maps/place/%E6%BC%A2%E7%8E%8B%E8%96%91%E6%AF%8D%E9%B4%A8+%E6%96%B0%E7%AB%B9%E6%9D%B1%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x3468356f88c34ce9:0xade61e20697c5c6,,
