標題,筆記,網址,標籤,留言
,,,,
桐聚 鍋物 TUNG JU．SHABU,,https://www.google.com/maps/place/%E6%A1%90%E8%81%9A+%E9%8D%8B%E7%89%A9+TUNG+JU%EF%BC%8ESHABU/data=!4m2!3m1!1s0x346841684a6b5b11:0xca1764648a33a1f,,
會來尖石溫泉渡假村,,https://www.google.com/maps/place/%E6%9C%83%E4%BE%86%E5%B0%96%E7%9F%B3%E6%BA%AB%E6%B3%89%E6%B8%A1%E5%81%87%E6%9D%91/data=!4m2!3m1!1s0x346840ecedeaaaab:0xc1fc37dfb033fb83,,
上山喝咖啡,,https://www.google.com/maps/place/%E4%B8%8A%E5%B1%B1%E5%96%9D%E5%92%96%E5%95%A1/data=!4m2!3m1!1s0x3468479202c86355:0x76cf7dd18cb8e1ff,,
