標題,筆記,網址,標籤,留言
糖癮糖餅-新竹美食 新竹小吃 新竹下午茶 新竹甜品 新竹糖餅,波妞,https://www.google.com/maps/place/%E7%B3%96%E7%99%AE%E7%B3%96%E9%A4%85-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F+%E6%96%B0%E7%AB%B9%E5%B0%8F%E5%90%83+%E6%96%B0%E7%AB%B9%E4%B8%8B%E5%8D%88%E8%8C%B6+%E6%96%B0%E7%AB%B9%E7%94%9C%E5%93%81+%E6%96%B0%E7%AB%B9%E7%B3%96%E9%A4%85/data=!4m2!3m1!1s0x346835709211d907:0xcaa413920699e42d,,
汪家魚丸湯、包餡魚丸零售,波妞,https://www.google.com/maps/place/%E6%B1%AA%E5%AE%B6%E9%AD%9A%E4%B8%B8%E6%B9%AF%E3%80%81%E5%8C%85%E9%A4%A1%E9%AD%9A%E4%B8%B8%E9%9B%B6%E5%94%AE/data=!4m2!3m1!1s0x34683599bc5821f9:0x2535cec9801f8028,,
漁郎生魚片,賴爸,https://www.google.com/maps/place/%E6%BC%81%E9%83%8E%E7%94%9F%E9%AD%9A%E7%89%87/data=!4m2!3m1!1s0x3471e185863ce389:0xea08ec7b1dfa864b,,
二の丸安兵衛,騏哥蛇丸,https://www.google.com/maps/place/%E4%BA%8C%E3%81%AE%E4%B8%B8%E5%AE%89%E5%85%B5%E8%A1%9B/data=!4m2!3m1!1s0x6000e7c068cb8db3:0xbf295b7009e37caa,,
Naniwa Omuraisu,騏哥蛇丸,https://www.google.com/maps/place/Naniwa+Omuraisu/data=!4m2!3m1!1s0x6000e71a23415555:0x60b3835c1d9a8a5d,,
Mel Coffee Roasters,騏哥蛇丸,https://www.google.com/maps/place/Mel+Coffee+Roasters/data=!4m2!3m1!1s0x6000e704a2e2719f:0x64504cba1ee4b720,,
大阪難波凱悅嘉薈酒店,騏哥蛇丸,https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E9%9B%A3%E6%B3%A2%E5%87%B1%E6%82%85%E5%98%89%E8%96%88%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x6000e774747c83e9:0xe765c48d38776c3a,,
"Sojibō, Shinshu Soba Restaurant",騏哥蛇丸,"https://www.google.com/maps/place/Sojib%C5%8D,+Shinshu+Soba+Restaurant/data=!4m2!3m1!1s0x6000b9fb834803f9:0x7822775a98d5d1d0",,
大直小館,貝姬 蘿蔔糕,https://www.google.com/maps/place/%E5%A4%A7%E7%9B%B4%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x3442ac05971371f5:0xda64e7b130009573,,
阿城鵝肉,貝姬,https://www.google.com/maps/place/%E9%98%BF%E5%9F%8E%E9%B5%9D%E8%82%89/data=!4m2!3m1!1s0x3442a95dec299d8f:0x9a3740ecab3f2e0,,
Ryukyusushi Tsukijiaozorasandaime Makishishitamachiyataimura,館長,https://www.google.com/maps/place/Ryukyusushi+Tsukijiaozorasandaime+Makishishitamachiyataimura/data=!4m2!3m1!1s0x34e5690014c62069:0x1216b11b9cbd52a0,,
牧志下町屋台村,館長 11號青空三代目,https://www.google.com/maps/place/%E7%89%A7%E5%BF%97%E4%B8%8B%E7%94%BA%E5%B1%8B%E5%8F%B0%E6%9D%91/data=!4m2!3m1!1s0x34e5699d261e67d9:0xbb3a59536b299581,,
