標題,筆記,網址,標籤,留言
,,,,
無名麵線糊豆花,智明,https://www.google.com/maps/place/%E7%84%A1%E5%90%8D%E9%BA%B5%E7%B7%9A%E7%B3%8A%E8%B1%86%E8%8A%B1/data=!4m2!3m1!1s0x346836c26fc44681:0xbd5b1a01ddf242d4,,
打鋼貴倪 創意食堂,"智明
三杯雞義大利麵",https://www.google.com/maps/place/%E6%89%93%E9%8B%BC%E8%B2%B4%E5%80%AA+%E5%89%B5%E6%84%8F%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x346835b288b1445b:0x7629b4da846ce808,,
Seed Bakery 麵包籽 新竹光埔店,"智明
海鹽奶油卷",https://www.google.com/maps/place/Seed+Bakery+%E9%BA%B5%E5%8C%85%E7%B1%BD+%E6%96%B0%E7%AB%B9%E5%85%89%E5%9F%94%E5%BA%97/data=!4m2!3m1!1s0x3468372d38e83579:0xc4cc424f29bed38,,
貓的堅持（新竹店）創意輕藥膳養生料理,小葉,https://www.google.com/maps/place/%E8%B2%93%E7%9A%84%E5%A0%85%E6%8C%81%EF%BC%88%E6%96%B0%E7%AB%B9%E5%BA%97%EF%BC%89%E5%89%B5%E6%84%8F%E8%BC%95%E8%97%A5%E8%86%B3%E9%A4%8A%E7%94%9F%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835005b53c5ff:0xac779dbfc7485ee4,,
劉家莊燜雞,,https://www.google.com/maps/place/%E5%8A%89%E5%AE%B6%E8%8E%8A%E7%87%9C%E9%9B%9E/data=!4m2!3m1!1s0x34683a407d359755:0x130a8bb00df1c4a0,,
永晝手工義大利麵,,https://www.google.com/maps/place/%E6%B0%B8%E6%99%9D%E6%89%8B%E5%B7%A5%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5/data=!4m2!3m1!1s0x34683766d881cfbf:0x91dfd6e77bfeeb8e,,
好日紫日式咖哩,,https://www.google.com/maps/place/%E5%A5%BD%E6%97%A5%E7%B4%AB%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9/data=!4m2!3m1!1s0x3468357f639e354b:0x27a600d11400474a,,
