標題,筆記,網址,標籤,留言
野叔主廚私房料理,薄羽，刺蔥,https://www.google.com/maps/place/%E9%87%8E%E5%8F%94%E4%B8%BB%E5%BB%9A%E7%A7%81%E6%88%BF%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835df94bc30b5:0x876fdd96780d660d,,
山口六家食堂,小葉,https://www.google.com/maps/place/%E5%B1%B1%E5%8F%A3%E5%85%AD%E5%AE%B6%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x34683702329d1955:0xce6e29cb48d5a5eb,,
阿男麻油雞,丁特,https://www.google.com/maps/place/%E9%98%BF%E7%94%B7%E9%BA%BB%E6%B2%B9%E9%9B%9E/data=!4m2!3m1!1s0x3442a9bb3aa961e7:0xd3b7b58a43d64245,,
瘋蝦吃到飽,,https://www.google.com/maps/place/%E7%98%8B%E8%9D%A6%E5%90%83%E5%88%B0%E9%A3%BD/data=!4m2!3m1!1s0x34693da88827b0ef:0x7e561dec6b753fcd,,
小曾擔舖,,https://www.google.com/maps/place/%E5%B0%8F%E6%9B%BE%E6%93%94%E8%88%96/data=!4m2!3m1!1s0x346837ec455e1cbf:0xd24f41c76fe5ad23,,
六家橋頭早餐,,https://www.google.com/maps/place/%E5%85%AD%E5%AE%B6%E6%A9%8B%E9%A0%AD%E6%97%A9%E9%A4%90/data=!4m2!3m1!1s0x34683657f97fb64f:0x5879c6796d1cef70,,
富士豬排 とんかつ富士 熟成豬排 小巨蛋店,萊斯,https://www.google.com/maps/place/%E5%AF%8C%E5%A3%AB%E8%B1%AC%E6%8E%92+%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%AF%8C%E5%A3%AB+%E7%86%9F%E6%88%90%E8%B1%AC%E6%8E%92+%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97/data=!4m2!3m1!1s0x3442ab11fba1b1a9:0xda8c58618ce2a8aa,,
IKIGAI 燒肉專門店-台中新朝富店,,https://www.google.com/maps/place/IKIGAI+%E7%87%92%E8%82%89%E5%B0%88%E9%96%80%E5%BA%97-%E5%8F%B0%E4%B8%AD%E6%96%B0%E6%9C%9D%E5%AF%8C%E5%BA%97/data=!4m2!3m1!1s0x34693dd4bfe6c9ef:0x4f8a630bb3b9adfe,,
九蝦行製蝦專門所,民眾台8線,https://www.google.com/maps/place/%E4%B9%9D%E8%9D%A6%E8%A1%8C%E8%A3%BD%E8%9D%A6%E5%B0%88%E9%96%80%E6%89%80/data=!4m2!3m1!1s0x34693961e9d1b8fd:0xfbaaeffcc5b8d747,,
高家莊米苔目,Eli,https://www.google.com/maps/place/%E9%AB%98%E5%AE%B6%E8%8E%8A%E7%B1%B3%E8%8B%94%E7%9B%AE/data=!4m2!3m1!1s0x3442a967dff20577:0x68c4d8dc6313a844,,
大橋頭米糕,Eli,https://www.google.com/maps/place/%E5%A4%A7%E6%A9%8B%E9%A0%AD%E7%B1%B3%E7%B3%95/data=!4m2!3m1!1s0x3442a93ed634cd47:0x3a4001a982bec955,,
林江牛肉麵,Eli,https://www.google.com/maps/place/%E6%9E%97%E6%B1%9F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442aec8e60ef099:0x57c7fa035afaa853,,
雙連圓仔湯,Eli,https://www.google.com/maps/place/%E9%9B%99%E9%80%A3%E5%9C%93%E4%BB%94%E6%B9%AF/data=!4m2!3m1!1s0x3442a96a11391b2b:0xf14198f38b3a86e5,,
麵線傳奇,Eli,https://www.google.com/maps/place/%E9%BA%B5%E7%B7%9A%E5%82%B3%E5%A5%87/data=!4m2!3m1!1s0x3442a943c0e47157:0x61627474cc06645d,,
阿桐阿寶四神湯,Eli,https://www.google.com/maps/place/%E9%98%BF%E6%A1%90%E9%98%BF%E5%AF%B6%E5%9B%9B%E7%A5%9E%E6%B9%AF/data=!4m2!3m1!1s0x3442a96a67c9be13:0xba1ef70fcd5a52bc,,
阿東窯烤雞 新竹店,吊車大王推薦,https://www.google.com/maps/place/%E9%98%BF%E6%9D%B1%E7%AA%AF%E7%83%A4%E9%9B%9E+%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x3468386c006dec1d:0xd55b69f30b18a784,,
福泰飯桌,,https://www.google.com/maps/place/%E7%A6%8F%E6%B3%B0%E9%A3%AF%E6%A1%8C/data=!4m2!3m1!1s0x346e7661706ecac7:0x8b61cd5f7180e3eb,,
福泰飯桌 第三代,,https://www.google.com/maps/place/%E7%A6%8F%E6%B3%B0%E9%A3%AF%E6%A1%8C+%E7%AC%AC%E4%B8%89%E4%BB%A3/data=!4m2!3m1!1s0x346e7661ffdf83e7:0x46c60109efec100,,
富錦樹台菜香檳 敦北店,,https://www.google.com/maps/place/%E5%AF%8C%E9%8C%A6%E6%A8%B9%E5%8F%B0%E8%8F%9C%E9%A6%99%E6%AA%B3+%E6%95%A6%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x3442abeeb8cfa39d:0x29ae480e77529935,,
臭二爺|素食|清蒸臭豆腐,,https://www.google.com/maps/place/%E8%87%AD%E4%BA%8C%E7%88%BA%7C%E7%B4%A0%E9%A3%9F%7C%E6%B8%85%E8%92%B8%E8%87%AD%E8%B1%86%E8%85%90/data=!4m2!3m1!1s0x346835b9c97adb6d:0xbd491e4b8eab9e8e,,
