標題,筆記,網址,標籤,留言
鬆餅巷（營業時間以FB公告為主）,,https://www.google.com/maps/place/%E9%AC%86%E9%A4%85%E5%B7%B7%EF%BC%88%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BB%A5FB%E5%85%AC%E5%91%8A%E7%82%BA%E4%B8%BB%EF%BC%89/data=!4m2!3m1!1s0x34683672206425d7:0x57c0bd295ba9b787,,
奉家 方糰本舖｜園區下午茶外送｜團體大量訂單｜活動餐盒客製,,https://www.google.com/maps/place/%E5%A5%89%E5%AE%B6+%E6%96%B9%E7%B3%B0%E6%9C%AC%E8%88%96%EF%BD%9C%E5%9C%92%E5%8D%80%E4%B8%8B%E5%8D%88%E8%8C%B6%E5%A4%96%E9%80%81%EF%BD%9C%E5%9C%98%E9%AB%94%E5%A4%A7%E9%87%8F%E8%A8%82%E5%96%AE%EF%BD%9C%E6%B4%BB%E5%8B%95%E9%A4%90%E7%9B%92%E5%AE%A2%E8%A3%BD/data=!4m2!3m1!1s0x34683738fe2ab141:0x23ddcf4ae6a8411c,,
思茶MissingTea手作飲品 新竹新莊店,,https://www.google.com/maps/place/%E6%80%9D%E8%8C%B6MissingTea%E6%89%8B%E4%BD%9C%E9%A3%B2%E5%93%81+%E6%96%B0%E7%AB%B9%E6%96%B0%E8%8E%8A%E5%BA%97/data=!4m2!3m1!1s0x346837d3c1d08929:0x5f8e9316a1f8a28f,,
Crazy Pizza,,https://www.google.com/maps/place/Crazy+Pizza/data=!4m2!3m1!1s0x3468373ef4791df7:0x1d92ec0351099c0,,
珍豐大骨手工湯包,,https://www.google.com/maps/place/%E7%8F%8D%E8%B1%90%E5%A4%A7%E9%AA%A8%E6%89%8B%E5%B7%A5%E6%B9%AF%E5%8C%85/data=!4m2!3m1!1s0x3468370c2e2f885b:0x7c51f45ce770d42f,,
皇阿瑪臭豆腐(竹科店),,https://www.google.com/maps/place/%E7%9A%87%E9%98%BF%E7%91%AA%E8%87%AD%E8%B1%86%E8%85%90(%E7%AB%B9%E7%A7%91%E5%BA%97)/data=!4m2!3m1!1s0x3468378cb9ae950b:0xb22391abccd0ec0a,,
再睡5分鐘 - 新竹光復店,,https://www.google.com/maps/place/%E5%86%8D%E7%9D%A15%E5%88%86%E9%90%98+-+%E6%96%B0%E7%AB%B9%E5%85%89%E5%BE%A9%E5%BA%97/data=!4m2!3m1!1s0x346837358ea752c1:0x2728f8e6424dc2be,,
雞雞叫脆皮雞排,,https://www.google.com/maps/place/%E9%9B%9E%E9%9B%9E%E5%8F%AB%E8%84%86%E7%9A%AE%E9%9B%9E%E6%8E%92/data=!4m2!3m1!1s0x34683672f3d0e161:0x9b889ed03b0adfb3,,
宋氏手工舖創始店,,https://www.google.com/maps/place/%E5%AE%8B%E6%B0%8F%E6%89%8B%E5%B7%A5%E8%88%96%E5%89%B5%E5%A7%8B%E5%BA%97/data=!4m2!3m1!1s0x3468363c48ca7fbd:0x2f9624c6ba2f5f6d,,
老豆花 プリプリ 建中店,,https://www.google.com/maps/place/%E8%80%81%E8%B1%86%E8%8A%B1+%E3%83%97%E3%83%AA%E3%83%97%E3%83%AA+%E5%BB%BA%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x346837f6ee1a22fd:0xb69100052880c99b,,
軒韻茶飲新竹店,,https://www.google.com/maps/place/%E8%BB%92%E9%9F%BB%E8%8C%B6%E9%A3%B2%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x3468363994ae7eb5:0x82f64177bf216c6a,,
吳家甜不辣麵線,,https://www.google.com/maps/place/%E5%90%B3%E5%AE%B6%E7%94%9C%E4%B8%8D%E8%BE%A3%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346837a2150a51ff:0x72772f476a61631f,,
