店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
男子漢雞排（竹東店）,310台灣新竹縣竹東鎮竹東里竹榮街25號,https://www.google.com/maps/place/%E7%94%B7%E5%AD%90%E6%BC%A2%E9%9B%9E%E6%8E%92%EF%BC%88%E7%AB%B9%E6%9D%B1%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x346847004623cc55:0xd4c175903966f826,其他,下午茶,是,14.11,150,
大茗本位製茶堂-新竹金山店,300台灣新竹市東區金山里金山十三街1號,https://www.google.com/maps/place/%E5%A4%A7%E8%8C%97%E6%9C%AC%E4%BD%8D%E8%A3%BD%E8%8C%B6%E5%A0%82-%E6%96%B0%E7%AB%B9%E9%87%91%E5%B1%B1%E5%BA%97/data=!4m2!3m1!1s0x346837007a71cd3d:0x5a95d541d36393f2,其他,下午茶,是,6.56,150,
(戲棚下Under Six Pound炸雞)新竹市北區,300台灣新竹市北區中山里中央路45號,https://www.google.com/maps/place/(%E6%88%B2%E6%A3%9A%E4%B8%8BUnder+Six+Pound%E7%82%B8%E9%9B%9E)%E6%96%B0%E7%AB%B9%E5%B8%82%E5%8C%97%E5%8D%80/data=!4m2!3m1!1s0x34683563e9c41885:0xdcf7f89b9786c020,其他,下午茶,是,1.38,150,
爆Q美式炸雞（新竹中華店）,30060台灣新竹市東區三民里中華路二段212號,https://www.google.com/maps/place/%E7%88%86Q%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E%EF%BC%88%E6%96%B0%E7%AB%B9%E4%B8%AD%E8%8F%AF%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x346835dcbb3c6385:0x1761d9858ae55576,美式,下午茶,是,1.21,400,
爆Q 美式炸雞 新竹南大店,300台灣新竹市北區新興里南大路433號,https://www.google.com/maps/place/%E7%88%86Q+%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E+%E6%96%B0%E7%AB%B9%E5%8D%97%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x346835e265589313:0x31f13b098f69e73f,美式,下午茶,是,2.33,400,
鬆餅巷（營業時間以FB公告為主）,300台灣新竹市東區豐功里建美路29號,https://www.google.com/maps/place/%E9%AC%86%E9%A4%85%E5%B7%B7%EF%BC%88%E7%87%9F%E6%A5%AD%E6%99%82%E9%96%93%E4%BB%A5FB%E5%85%AC%E5%91%8A%E7%82%BA%E4%B8%BB%EF%BC%89/data=!4m2!3m1!1s0x34683672206425d7:0x57c0bd295ba9b787,其他,下午茶,是,2.9,150,
奉家 方糰本舖｜園區下午茶外送｜團體大量訂單｜活動餐盒客製,30073台灣新竹市東區新莊里新莊街161號,https://www.google.com/maps/place/%E5%A5%89%E5%AE%B6+%E6%96%B9%E7%B3%B0%E6%9C%AC%E8%88%96%EF%BD%9C%E5%9C%92%E5%8D%80%E4%B8%8B%E5%8D%88%E8%8C%B6%E5%A4%96%E9%80%81%EF%BD%9C%E5%9C%98%E9%AB%94%E5%A4%A7%E9%87%8F%E8%A8%82%E5%96%AE%EF%BD%9C%E6%B4%BB%E5%8B%95%E9%A4%90%E7%9B%92%E5%AE%A2%E8%A3%BD/data=!4m2!3m1!1s0x34683738fe2ab141:0x23ddcf4ae6a8411c,其他,下午茶,是,5.42,150,
思茶MissingTea手作飲品 新竹新莊店,300台灣新竹市東區新莊里新莊街139號,https://www.google.com/maps/place/%E6%80%9D%E8%8C%B6MissingTea%E6%89%8B%E4%BD%9C%E9%A3%B2%E5%93%81+%E6%96%B0%E7%AB%B9%E6%96%B0%E8%8E%8A%E5%BA%97/data=!4m2!3m1!1s0x346837d3c1d08929:0x5f8e9316a1f8a28f,其他,下午茶,是,5.41,150,
Crazy Pizza,300台灣新竹市東區仙水里光復路一段391號,https://www.google.com/maps/place/Crazy+Pizza/data=!4m2!3m1!1s0x3468373ef4791df7:0x1d92ec0351099c0,義式,下午茶,是,5.64,350,
珍豐大骨手工湯包,300台灣新竹市東區金山里光復路一段5號,https://www.google.com/maps/place/%E7%8F%8D%E8%B1%90%E5%A4%A7%E9%AA%A8%E6%89%8B%E5%B7%A5%E6%B9%AF%E5%8C%85/data=!4m2!3m1!1s0x3468370c2e2f885b:0x7c51f45ce770d42f,中式,下午茶,是,6.6,120,
皇阿瑪臭豆腐(竹科店),310台灣新竹縣竹東鎮柯湖里中興路四段985號,https://www.google.com/maps/place/%E7%9A%87%E9%98%BF%E7%91%AA%E8%87%AD%E8%B1%86%E8%85%90(%E7%AB%B9%E7%A7%91%E5%BA%97)/data=!4m2!3m1!1s0x3468378cb9ae950b:0xb22391abccd0ec0a,中式,下午茶,是,6.87,120,
再睡5分鐘 - 新竹光復店,300台灣新竹市東區金山里光復路一段173號,https://www.google.com/maps/place/%E5%86%8D%E7%9D%A15%E5%88%86%E9%90%98+-+%E6%96%B0%E7%AB%B9%E5%85%89%E5%BE%A9%E5%BA%97/data=!4m2!3m1!1s0x346837358ea752c1:0x2728f8e6424dc2be,其他,下午茶,是,6.23,150,
雞雞叫脆皮雞排,30071台灣新竹市東區建新路29號,https://www.google.com/maps/place/%E9%9B%9E%E9%9B%9E%E5%8F%AB%E8%84%86%E7%9A%AE%E9%9B%9E%E6%8E%92/data=!4m2!3m1!1s0x34683672f3d0e161:0x9b889ed03b0adfb3,其他,下午茶,是,3.09,150,
宋氏手工舖創始店,300台灣新竹市東區新莊里長春街31號,https://www.google.com/maps/place/%E5%AE%8B%E6%B0%8F%E6%89%8B%E5%B7%A5%E8%88%96%E5%89%B5%E5%A7%8B%E5%BA%97/data=!4m2!3m1!1s0x3468363c48ca7fbd:0x2f9624c6ba2f5f6d,其他,下午茶,是,5.31,150,
老豆花 プリプリ 建中店,300台灣新竹市東區豐功里建中路132號,https://www.google.com/maps/place/%E8%80%81%E8%B1%86%E8%8A%B1+%E3%83%97%E3%83%AA%E3%83%97%E3%83%AA+%E5%BB%BA%E4%B8%AD%E5%BA%97/data=!4m2!3m1!1s0x346837f6ee1a22fd:0xb69100052880c99b,其他,下午茶,是,2.7,150,
軒韻茶飲新竹店,300台灣新竹市東區金山里金山九街58號,https://www.google.com/maps/place/%E8%BB%92%E9%9F%BB%E8%8C%B6%E9%A3%B2%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x3468363994ae7eb5:0x82f64177bf216c6a,其他,下午茶,是,6.42,150,
吳家甜不辣麵線,300台灣新竹市東區仙水里光復路一段531巷70號,https://www.google.com/maps/place/%E5%90%B3%E5%AE%B6%E7%94%9C%E4%B8%8D%E8%BE%A3%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346837a2150a51ff:0x72772f476a61631f,中式,下午茶,是,5.35,120,
老瀋陽酸菜白肉鍋,300台灣新竹市東區復興里三民路125號,https://www.google.com/maps/place/%E8%80%81%E7%80%8B%E9%99%BD%E9%85%B8%E8%8F%9C%E7%99%BD%E8%82%89%E9%8D%8B/data=!4m2!3m1!1s0x346835daf212fbb3:0x65325cf40ffe9b00,其他,冬季限定,是,0.83,150,
火鍋世家新竹光華東店,300台灣新竹市東區文華里光華東街5號,https://www.google.com/maps/place/%E7%81%AB%E9%8D%8B%E4%B8%96%E5%AE%B6%E6%96%B0%E7%AB%B9%E5%85%89%E8%8F%AF%E6%9D%B1%E5%BA%97/data=!4m2!3m1!1s0x346835cfae0ab6cf:0x2c4ce117c4b882ba,中式,冬季限定,是,0.15,450,
"老店薑母雞 八德旗艦店 全臺首創薑母雞-推薦在地必吃平價美食 火鍋(新竹東區)夜間宵夜 露營必備美食菜單 薑母鴨 薑母雞 狀元雞 首烏雞 淮蔘雞 
烏骨雞肉 溫體雞 火鍋 中藥燉煮 PTT",300台灣新竹市東區東園里八德路160號,https://www.google.com/maps/place/%E8%80%81%E5%BA%97%E8%96%91%E6%AF%8D%E9%9B%9E+%E5%85%AB%E5%BE%B7%E6%97%97%E8%89%A6%E5%BA%97+%E5%85%A8%E8%87%BA%E9%A6%96%E5%89%B5%E8%96%91%E6%AF%8D%E9%9B%9E-%E6%8E%A8%E8%96%A6%E5%9C%A8%E5%9C%B0%E5%BF%85%E5%90%83%E5%B9%B3%E5%83%B9%E7%BE%8E%E9%A3%9F+%E7%81%AB%E9%8D%8B(%E6%96%B0%E7%AB%B9%E6%9D%B1%E5%8D%80)%E5%A4%9C%E9%96%93%E5%AE%B5%E5%A4%9C+%E9%9C%B2%E7%87%9F%E5%BF%85%E5%82%99%E7%BE%8E%E9%A3%9F%E8%8F%9C%E5%96%AE+%E8%96%91%E6%AF%8D%E9%B4%A8+%E8%96%91%E6%AF%8D%E9%9B%9E+%E7%8B%80%E5%85%83%E9%9B%9E+%E9%A6%96%E7%83%8F%E9%9B%9E+%E6%B7%AE%E8%94%98%E9%9B%9E+%0A%E7%83%8F%E9%AA%A8%E9%9B%9E%E8%82%89+%E6%BA%AB%E9%AB%94%E9%9B%9E+%E7%81%AB%E9%8D%8B+%E4%B8%AD%E8%97%A5%E7%87%89%E7%85%AE+PTT/data=!4m2!3m1!1s0x346835fb54b8be3d:0x7666b272680c3d2e,中式,冬季限定,是,1.78,450,
漢王薑母鴨 新竹東大店,300台灣新竹市北區福林里東大路二段261號,https://www.google.com/maps/place/%E6%BC%A2%E7%8E%8B%E8%96%91%E6%AF%8D%E9%B4%A8+%E6%96%B0%E7%AB%B9%E6%9D%B1%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x3468356f88c34ce9:0xade61e20697c5c6,其他,冬季限定,是,0.96,150,
傑理歐法小館 since2004 ｜營業中不方便接聽電話｜不是親子餐廳｜請善用LINE和線上預約系統｜,433台灣臺中市沙鹿區北勢里北勢二街134號,https://www.google.com/maps/place/%E5%82%91%E7%90%86%E6%AD%90%E6%B3%95%E5%B0%8F%E9%A4%A8+since2004+%EF%BD%9C%E7%87%9F%E6%A5%AD%E4%B8%AD%E4%B8%8D%E6%96%B9%E4%BE%BF%E6%8E%A5%E8%81%BD%E9%9B%BB%E8%A9%B1%EF%BD%9C%E4%B8%8D%E6%98%AF%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3%EF%BD%9C%E8%AB%8B%E5%96%84%E7%94%A8LINE%E5%92%8C%E7%B7%9A%E4%B8%8A%E9%A0%90%E7%B4%84%E7%B3%BB%E7%B5%B1%EF%BD%9C/data=!4m2!3m1!1s0x346915024217940d:0x8f3754b8a7965660,其他,台中清水,是,76.77,150,
炯炯特炙牛排,433台灣臺中市沙鹿區洛泉里鎮政路31號,https://www.google.com/maps/place/%E7%82%AF%E7%82%AF%E7%89%B9%E7%82%99%E7%89%9B%E6%8E%92/data=!4m2!3m1!1s0x34691531e8c345b7:0xcae39e0bc5e52fb1,美式,台中清水,是,76.57,400,
H.YEN,433台灣臺中市沙鹿區鹿峰里錦衣街143號,https://www.google.com/maps/place/H.YEN/data=!4m2!3m1!1s0x3469151c2962160f:0x36f0ee1b398ad3da,其他,台中清水,是,75.17,150,
小赫霜淇淋,"號 No, No. 15中興街清水區臺中市台灣 436",https://www.google.com/maps/place/%E5%B0%8F%E8%B5%AB%E9%9C%9C%E6%B7%87%E6%B7%8B/data=!4m2!3m1!1s0x3469147f00d4cc6d:0xe2ddbb16bd680073,其他,台中清水,是,72.66,150,
清水白燒炸粿,436台灣臺中市清水區南寧里清水街49-1號隔壁,https://www.google.com/maps/place/%E6%B8%85%E6%B0%B4%E7%99%BD%E7%87%92%E7%82%B8%E7%B2%BF/data=!4m2!3m1!1s0x3469157db1515755:0xb55f572deb8e851b,其他,台中清水,是,72.94,150,
阿財米糕店,436台灣臺中市清水區西寧里西寧路105號,https://www.google.com/maps/place/%E9%98%BF%E8%B2%A1%E7%B1%B3%E7%B3%95%E5%BA%97/data=!4m2!3m1!1s0x3469147ff4525f9b:0x56afc8da156c9f9c,中式,台中清水,是,72.7,120,
王塔米糕店,436台灣臺中市清水區中興里中興街30-1號,https://www.google.com/maps/place/%E7%8E%8B%E5%A1%94%E7%B1%B3%E7%B3%95%E5%BA%97/data=!4m2!3m1!1s0x3469147f78bbdb95:0x7c36b08a6b2f3bf3,中式,台中清水,是,72.65,120,
華得來(清水店),436台灣臺中市清水區南寧里中山路207號,https://www.google.com/maps/place/%E8%8F%AF%E5%BE%97%E4%BE%86(%E6%B8%85%E6%B0%B4%E5%BA%97)/data=!4m2!3m1!1s0x3469147e10cad041:0x11a6da11bcc8c076,其他,台中清水,是,73.1,150,
老士官擀麵,436台灣臺中市清水區南寧里鎮南街81之12號,https://www.google.com/maps/place/%E8%80%81%E5%A3%AB%E5%AE%98%E6%93%80%E9%BA%B5/data=!4m2!3m1!1s0x34691480c88c07db:0x5103e675c9e93074,中式,台中清水,是,73.2,120,
采宏牛肉麵-原建宏牛肉麵,108台灣臺北市萬華區福星里西寧南路27號1樓,https://www.google.com/maps/place/%E9%87%87%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5-%E5%8E%9F%E5%BB%BA%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e656a081f:0x713c3942e872dca2,中式,台北牛肉麵,是,59.66,120,
小吳牛肉麵,108台灣臺北市萬華區福星里洛陽街45-11號,https://www.google.com/maps/place/%E5%B0%8F%E5%90%B3%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e8737b2f7:0x6b6ee112e9e7c58b,中式,台北牛肉麵,是,59.71,120,
牛耳精緻麵館,114台灣臺北市內湖區西湖里內湖路一段323巷16弄2號,https://www.google.com/maps/place/%E7%89%9B%E8%80%B3%E7%B2%BE%E7%B7%BB%E9%BA%B5%E9%A4%A8/data=!4m2!3m1!1s0x3442ac6ed1ee09a1:0xb74bbe9d296cafa4,中式,台北牛肉麵,是,66.88,120,
山西刀削麵 （大直店）,104237台灣臺北市中山區大直里北安路563號,https://www.google.com/maps/place/%E5%B1%B1%E8%A5%BF%E5%88%80%E5%89%8A%E9%BA%B5+%EF%BC%88%E5%A4%A7%E7%9B%B4%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x3442adab8c980a9b:0xc8ddf366daef8942,中式,台北牛肉麵,是,64.95,120,紅燒牛肉麵
江蘇老趙刀切麵,106台灣臺北市大安區住安里信義路四段60之60號,https://www.google.com/maps/place/%E6%B1%9F%E8%98%87%E8%80%81%E8%B6%99%E5%88%80%E5%88%87%E9%BA%B5/data=!4m2!3m1!1s0x3442abd2e34bdfe3:0xc6af47184dcb5410,中式,台北牛肉麵,是,62.51,120,紅燒牛肉麵
富宏牛肉麵,108台灣臺北市萬華區福星里洛陽街67號,https://www.google.com/maps/place/%E5%AF%8C%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e87e6d60b:0x2a5448854fda3233,中式,台北牛肉麵,是,59.69,120,紅燒牛肉麵
慶咖哩,300台灣新竹市東區復中里民生路212號,https://www.google.com/maps/place/%E6%85%B6%E5%92%96%E5%93%A9/data=!4m2!3m1!1s0x3468350065c33605:0xc56e2c0f6a7dab5f,東南亞式,回訪,是,0.52,250,
彭家粄糕,314台灣新竹縣北埔鄉南興村南興街90號,https://www.google.com/maps/place/%E5%BD%AD%E5%AE%B6%E7%B2%84%E7%B3%95/data=!4m2!3m1!1s0x346848952542933b:0xf7ba61d722850629,其他,回訪,是,15.45,150,
皿富器食 minfood,300台灣新竹市東區復中里錦華街18巷22號,https://www.google.com/maps/place/%E7%9A%BF%E5%AF%8C%E5%99%A8%E9%A3%9F+minfood/data=!4m2!3m1!1s0x346835bd3587d5a5:0x3511f4090f4076a8,其他,回訪,是,0.72,150,
PASTA de SHOW/CURRY de SHOW義大利生麵廚房北大店,300台灣新竹市東區文華里北大路40巷30-2號,https://www.google.com/maps/place/PASTA+de+SHOW%2FCURRY+de+SHOW%E7%BE%A9%E5%A4%A7%E5%88%A9%E7%94%9F%E9%BA%B5%E5%BB%9A%E6%88%BF%E5%8C%97%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x346835ad93138add:0xbb8cc60c4f0674c0,義式,回訪,是,0.35,350,
Jim’s Food,30069台灣新竹市東區東勢里東光路125號,https://www.google.com/maps/place/Jim%E2%80%99s+Food/data=!4m2!3m1!1s0x34683500608edfd9:0x128edb0662e9c163,其他,回訪,是,1.82,150,
客園麵食館,300台灣新竹市東區三民里民族路127號,https://www.google.com/maps/place/%E5%AE%A2%E5%9C%92%E9%BA%B5%E9%A3%9F%E9%A4%A8/data=!4m2!3m1!1s0x346835db19e86ea5:0x36c6482f3eec663,中式,回訪,是,0.95,120,番茄蛋花麵
好食味 藥燉排骨／ 滷肉飯／赤肉羹蚵仔麵線／芋頭鹹粥,300台灣新竹市北區西門里西大路504號,https://www.google.com/maps/place/%E5%A5%BD%E9%A3%9F%E5%91%B3+%E8%97%A5%E7%87%89%E6%8E%92%E9%AA%A8%EF%BC%8F+%E6%BB%B7%E8%82%89%E9%A3%AF%EF%BC%8F%E8%B5%A4%E8%82%89%E7%BE%B9%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%EF%BC%8F%E8%8A%8B%E9%A0%AD%E9%B9%B9%E7%B2%A5/data=!4m2!3m1!1s0x346835b87c4d8513:0xc7a9de40da1cf3bd,中式,回訪,是,1.6,120,
凱迪比薩,300台灣新竹市北區光田里水田街143號,https://www.google.com/maps/place/%E5%87%B1%E8%BF%AA%E6%AF%94%E8%96%A9/data=!4m2!3m1!1s0x3468357322c6104d:0x7f47235016521de0,義式,回訪,是,0.49,350,
白日夢pasta-新竹美食,300台灣新竹市東區關帝里文昌街112號,https://www.google.com/maps/place/%E7%99%BD%E6%97%A5%E5%A4%A2pasta-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346835a0a47170e5:0x36ef1d0666e58069,義式,回訪,是,1.71,350,
福氣中卷麵線,300台灣新竹市東區中正里東門街136號,https://www.google.com/maps/place/%E7%A6%8F%E6%B0%A3%E4%B8%AD%E5%8D%B7%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346835006b60203b:0x3a9964cfa07ed634,中式,回訪,是,1.38,120,
瑪咭廚房,300台灣新竹市北區武陵路73巷16號,https://www.google.com/maps/place/%E7%91%AA%E5%92%AD%E5%BB%9A%E6%88%BF/data=!4m2!3m1!1s0x346835c994786743:0xb0127b72c25f8c3a,其他,回訪,是,0.78,150,
靜岡勝政日式豬排-新竹巨城店,300台灣新竹市東區復中里中央路229號5樓,https://www.google.com/maps/place/%E9%9D%9C%E5%B2%A1%E5%8B%9D%E6%94%BF%E6%97%A5%E5%BC%8F%E8%B1%AC%E6%8E%92-%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97/data=!4m2!3m1!1s0x346835003633a62f:0x3585ef85785848a3,日式,回訪,是,0.75,300,
荷竹園,300台灣新竹市北區湳中里湳中街63號,https://www.google.com/maps/place/%E8%8D%B7%E7%AB%B9%E5%9C%92/data=!4m2!3m1!1s0x346835cbb547fc95:0x5c6352ae488dce68,其他,回訪,是,0.93,150,
成大器烤肉飯 北大店,300台灣新竹市東區北大路36號,https://www.google.com/maps/place/%E6%88%90%E5%A4%A7%E5%99%A8%E7%83%A4%E8%82%89%E9%A3%AF+%E5%8C%97%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x346835478b78523d:0x1acfb47f97dde1e3,中式,回訪,是,0.35,120,
大無敵烤肉飯-新竹東門店,300台灣新竹市東區育賢里民族路33-15號,https://www.google.com/maps/place/%E5%A4%A7%E7%84%A1%E6%95%B5%E7%83%A4%E8%82%89%E9%A3%AF-%E6%96%B0%E7%AB%B9%E6%9D%B1%E9%96%80%E5%BA%97/data=!4m2!3m1!1s0x3468357d71c26299:0xed44a31a0159e059,中式,回訪,是,1.27,120,
吉瓦黑輪 tsi̍t uánn oden (無提供洗手間)忙碌時無接聽電話,300台灣新竹市東區西大路185號1樓,https://www.google.com/maps/place/%E5%90%89%E7%93%A6%E9%BB%91%E8%BC%AA+tsi%CC%8Dt+u%C3%A1nn+oden+(%E7%84%A1%E6%8F%90%E4%BE%9B%E6%B4%97%E6%89%8B%E9%96%93)%E5%BF%99%E7%A2%8C%E6%99%82%E7%84%A1%E6%8E%A5%E8%81%BD%E9%9B%BB%E8%A9%B1/data=!4m2!3m1!1s0x346835007d014085:0xb859cbd994546689,其他,回訪,是,2.09,150,
慕特牛排竹北店,302台灣新竹縣竹北市北崙里縣政九路175號2樓,https://www.google.com/maps/place/%E6%85%95%E7%89%B9%E7%89%9B%E6%8E%92%E7%AB%B9%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x3468369332eef439:0x55c28916400635fa,美式,回訪,是,3.99,400,
大嶼四國烏龍麵 竹蓮市場,300032台灣新竹市東區南大里竹蓮街15號,https://www.google.com/maps/place/%E5%A4%A7%E5%B6%BC%E5%9B%9B%E5%9C%8B%E7%83%8F%E9%BE%8D%E9%BA%B5+%E7%AB%B9%E8%93%AE%E5%B8%82%E5%A0%B4/data=!4m2!3m1!1s0x3468352a0215de95:0x9d4ae47ae71488ce,中式,回訪,是,2.15,120,
噴火美式炭烤牛排,300台灣新竹市東區食品路51號,https://www.google.com/maps/place/%E5%99%B4%E7%81%AB%E7%BE%8E%E5%BC%8F%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92/data=!4m2!3m1!1s0x346835bb02abb1d9:0xd417d09e4380bd1b,美式,回訪,是,1.95,400,
泰蝦小棧活蝦料理（售完會提早打烊，建議來電詢問）,300台灣新竹市東區東山里東山街56號,https://www.google.com/maps/place/%E6%B3%B0%E8%9D%A6%E5%B0%8F%E6%A3%A7%E6%B4%BB%E8%9D%A6%E6%96%99%E7%90%86%EF%BC%88%E5%94%AE%E5%AE%8C%E6%9C%83%E6%8F%90%E6%97%A9%E6%89%93%E7%83%8A%EF%BC%8C%E5%BB%BA%E8%AD%B0%E4%BE%86%E9%9B%BB%E8%A9%A2%E5%95%8F%EF%BC%89/data=!4m2!3m1!1s0x346835005e927763:0x60101e03a724a0f2,其他,回訪,是,2.24,150,
山下食堂,300台灣新竹市北區北門里中正路229號,https://www.google.com/maps/place/%E5%B1%B1%E4%B8%8B%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x346835d48a0b2fd1:0x85ed692acd3d2757,中式,回訪,是,1.04,120,
PINOCOCO 皮諾可可,408台灣臺中市南屯區新生里益豐路四段689號,https://www.google.com/maps/place/PINOCOCO+%E7%9A%AE%E8%AB%BE%E5%8F%AF%E5%8F%AF/data=!4m2!3m1!1s0x34693deaffffffff:0x840b460170493f30,其他,回訪,是,81.83,150,
新竹喜食廚房,300台灣新竹市東區振興里振興路122號,https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%96%9C%E9%A3%9F%E5%BB%9A%E6%88%BF/data=!4m2!3m1!1s0x346835c21037de1d:0xc9b387f23d09e4e7,其他,回訪,是,2.6,150,
蔡三毛豬血攤,700台灣臺南市中西區府前里保安路46號,https://www.google.com/maps/place/%E8%94%A1%E4%B8%89%E6%AF%9B%E8%B1%AC%E8%A1%80%E6%94%A4/data=!4m2!3m1!1s0x346e766183dbda91:0x51dc80df1f151903,中式,回訪,是,217.83,120,痛風老饕-
松村煙燻滷味 赤崁店,700台灣臺南市中西區南美里民族路二段319號,https://www.google.com/maps/place/%E6%9D%BE%E6%9D%91%E7%85%99%E7%87%BB%E6%BB%B7%E5%91%B3+%E8%B5%A4%E5%B4%81%E5%BA%97/data=!4m2!3m1!1s0x346e7661856c2763:0xcb8fb97eb0df7545,中式,回訪,是,216.96,120,
哈囉炸醬麵,300台灣新竹市北區境福里成功路37號,https://www.google.com/maps/place/%E5%93%88%E5%9B%89%E7%82%B8%E9%86%AC%E9%BA%B5/data=!4m2!3m1!1s0x346835ba6f7d6713:0x68314ef1f04356e,中式,回訪,是,1.7,120,
石家魚丸,300台灣新竹市東區興學街27號2９號,https://www.google.com/maps/place/%E7%9F%B3%E5%AE%B6%E9%AD%9A%E4%B8%B8/data=!4m2!3m1!1s0x346835ec841dcc8b:0x3151f3c44b4407fb,其他,回訪,是,2.12,150,
波諾義大利料理 新竹,300台灣新竹市東區新興里南大路525號,https://www.google.com/maps/place/%E6%B3%A2%E8%AB%BE%E7%BE%A9%E5%A4%A7%E5%88%A9%E6%96%99%E7%90%86+%E6%96%B0%E7%AB%B9/data=!4m2!3m1!1s0x3468358d318dd36f:0xc2848e22c240f3ca,其他,回訪,是,2.84,150,
福林港式燒腊,300台灣新竹市北區武陵路261-1號,https://www.google.com/maps/place/%E7%A6%8F%E6%9E%97%E6%B8%AF%E5%BC%8F%E7%87%92%E8%85%8A/data=!4m2!3m1!1s0x3468359ff69b5f93:0x2c88ad1c86189230,中式,回訪,是,0.92,120,
老陳家中央市場糯米水餃,300台灣新竹市北區中央里西門街2巷2號中央市場內92攤,https://www.google.com/maps/place/%E8%80%81%E9%99%B3%E5%AE%B6%E4%B8%AD%E5%A4%AE%E5%B8%82%E5%A0%B4%E7%B3%AF%E7%B1%B3%E6%B0%B4%E9%A4%83/data=!4m2!3m1!1s0x346835c020f58ed5:0x65367efb5aca2b3b,中式,回訪,是,1.59,120,
第一土鵝肉,103台灣臺北市大同區至聖里酒泉街54之1號,https://www.google.com/maps/place/%E7%AC%AC%E4%B8%80%E5%9C%9F%E9%B5%9D%E8%82%89/data=!4m2!3m1!1s0x3442a9484e9f6421:0x2db720ae76aa617,中式,回訪,是,61.65,120,
忠孝路觀光夜市,402台灣臺中市南區城隍里忠孝路136號,https://www.google.com/maps/place/%E5%BF%A0%E5%AD%9D%E8%B7%AF%E8%A7%80%E5%85%89%E5%A4%9C%E5%B8%82/data=!4m2!3m1!1s0x34693d19e2a318ad:0xb8e3ce870396c203,其他,回訪,是,81.89,150,
木木食堂 新竹店,300台灣新竹市東區三民里三民路86號,https://www.google.com/maps/place/%E6%9C%A8%E6%9C%A8%E9%A3%9F%E5%A0%82+%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x346835004a364a63:0x4a10ce7ec1697bd4,中式,回訪,是,0.89,120,
小屋頂早午餐,300台灣新竹市北區舊社里湳雅街158號,https://www.google.com/maps/place/%E5%B0%8F%E5%B1%8B%E9%A0%82%E6%97%A9%E5%8D%88%E9%A4%90/data=!4m2!3m1!1s0x346835cd0f600f33:0xe4fc0e21a292880,其他,回訪,是,0.52,150,蛋餅
光復小籠包,300台灣新竹市東區復興里中央路346號,https://www.google.com/maps/place/%E5%85%89%E5%BE%A9%E5%B0%8F%E7%B1%A0%E5%8C%85/data=!4m2!3m1!1s0x346835da886acfdd:0x1c7195dd7cbf2998,中式,回訪,是,0.81,120,
義樂蒂義式麵坊,300台灣新竹市北區水田里水田街20之1號,https://www.google.com/maps/place/%E7%BE%A9%E6%A8%82%E8%92%82%E7%BE%A9%E5%BC%8F%E9%BA%B5%E5%9D%8A/data=!4m2!3m1!1s0x346835c77709f465:0x79bcbad7fde13614,義式,回訪,是,0.96,350,
溢香園 天母店,111台灣臺北市士林區天山里天母東路41號,https://www.google.com/maps/place/%E6%BA%A2%E9%A6%99%E5%9C%92+%E5%A4%A9%E6%AF%8D%E5%BA%97/data=!4m2!3m1!1s0x3442ae80a4a48849:0x8ad7584679e8ea5,中式,回訪,是,65.58,120,清蒸臭豆腐
老四川麵食館,300台灣新竹市東區埔頂里埔頂路99巷41號,https://www.google.com/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E9%BA%B5%E9%A3%9F%E9%A4%A8/data=!4m2!3m1!1s0x3468366b15d28db1:0x2f3195d44821951e,中式,回訪,是,4.01,120,
