店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
阿華漁村海鮮料理,880台灣澎湖縣馬公市啟明里仁愛路25號,https://www.google.com/maps/place/%E9%98%BF%E8%8F%AF%E6%BC%81%E6%9D%91%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346c5af2c99a9f43:0x4b123e317b4a00a,中式,YTer,是,199.26,450,丁特
來福海鮮餐廳,880台灣澎湖縣馬公市光復里新村路43號,https://www.google.com/maps/place/%E4%BE%86%E7%A6%8F%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346c5aee0f72a46b:0x125bde65d011541d,中式,YTer,是,198.69,450,丁特
龍星餐廳,880台灣澎湖縣馬公市中興里治平路15-6號,https://www.google.com/maps/place/%E9%BE%8D%E6%98%9F%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346c5af21b23bb35:0x53ff1fa84fef2ebe,其他,YTer,是,198.85,150,丁特
合苑餐廳（人氣餐廳、澎湖必吃美食、在地人推薦、特色料理）,880台灣澎湖縣馬公市重慶里海埔路15號,https://www.google.com/maps/place/%E5%90%88%E8%8B%91%E9%A4%90%E5%BB%B3%EF%BC%88%E4%BA%BA%E6%B0%A3%E9%A4%90%E5%BB%B3%E3%80%81%E6%BE%8E%E6%B9%96%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%E3%80%81%E5%9C%A8%E5%9C%B0%E4%BA%BA%E6%8E%A8%E8%96%A6%E3%80%81%E7%89%B9%E8%89%B2%E6%96%99%E7%90%86%EF%BC%89/data=!4m2!3m1!1s0x346c5aed61f5ac3f:0xd861331323472948,其他,YTer,是,198.07,150,丁特
澎湖三哥雞排三多店,880台灣澎湖縣馬公市朝陽里三多路75-2號,https://www.google.com/maps/place/%E6%BE%8E%E6%B9%96%E4%B8%89%E5%93%A5%E9%9B%9E%E6%8E%92%E4%B8%89%E5%A4%9A%E5%BA%97/data=!4m2!3m1!1s0x346c5af33b2cae41:0xf43fe89df7099d7e,其他,YTer,是,197.74,150,丁特
拾貳鮮 鮮魚湯專賣店,880台灣澎湖縣馬公市重慶里民權路48號,https://www.google.com/maps/place/%E6%8B%BE%E8%B2%B3%E9%AE%AE+%E9%AE%AE%E9%AD%9A%E6%B9%AF%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x346c5bdb13004287:0x149df2c23533ea12,中式,YTer,是,199.18,120,丁特
八吃蝦-台中流水蝦吃到飽餐廳,40760台灣臺中市西屯區西墩里漢翔路326號,https://www.google.com/maps/place/%E5%85%AB%E5%90%83%E8%9D%A6-%E5%8F%B0%E4%B8%AD%E6%B5%81%E6%B0%B4%E8%9D%A6%E5%90%83%E5%88%B0%E9%A3%BD%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x3469176bb85c3047:0xc29da6abb45d197b,其他,YTer,是,77.85,150,蝦土豆
價值設計 VALUE DESIGN,403台灣臺中市西區公平里大業北路11號,https://www.google.com/maps/place/%E5%83%B9%E5%80%BC%E8%A8%AD%E8%A8%88+VALUE+DESIGN/data=!4m2!3m1!1s0x34693d0dd6117f99:0xe420452c2efaf0e1,其他,YTer,是,80.39,150,超認真少年
佐佐ぎょうざ日式煎餃專賣店(無訂位）,350台灣苗栗縣竹南鎮山下里科專八路300號,https://www.google.com/maps/place/%E4%BD%90%E4%BD%90%E3%81%8E%E3%82%87%E3%81%86%E3%81%96%E6%97%A5%E5%BC%8F%E7%85%8E%E9%A4%83%E5%B0%88%E8%B3%A3%E5%BA%97(%E7%84%A1%E8%A8%82%E4%BD%8D%EF%BC%89/data=!4m2!3m1!1s0x34684dadd67d8db9:0x632301e1bb33945b,日式,YTer,是,14.46,300,波妞
阿枝烤肉,350台灣苗栗縣竹南鎮正南里中正路183號,https://www.google.com/maps/place/%E9%98%BF%E6%9E%9D%E7%83%A4%E8%82%89/data=!4m2!3m1!1s0x3469b322f1b45d1d:0x2de06e89e0b2d906,其他,YTer,是,17.81,150,波妞 雞腿排
海味羹,35041台灣苗栗縣竹南鎮竹南里民族街90號,https://www.google.com/maps/place/%E6%B5%B7%E5%91%B3%E7%BE%B9/data=!4m2!3m1!1s0x3469b3629871aeb7:0xe201c674a220eea2,中式,YTer,是,17.36,120,波妞
竹南福州包,350台灣苗栗縣竹南鎮竹南里民權街36號,https://www.google.com/maps/place/%E7%AB%B9%E5%8D%97%E7%A6%8F%E5%B7%9E%E5%8C%85/data=!4m2!3m1!1s0x3469b33ca7236bc9:0x435f7856cb5f0759,中式,YTer,是,17.36,120,波妞
伴 Life partner（下午時段只供應甜點及飲品）,350台灣苗栗縣竹南鎮大埔里科專二路291號,https://www.google.com/maps/place/%E4%BC%B4+Life+partner%EF%BC%88%E4%B8%8B%E5%8D%88%E6%99%82%E6%AE%B5%E5%8F%AA%E4%BE%9B%E6%87%89%E7%94%9C%E9%BB%9E%E5%8F%8A%E9%A3%B2%E5%93%81%EF%BC%89/data=!4m2!3m1!1s0x34684bd093bdd717:0x33b674a36b4c83f4,其他,YTer,是,13.53,150,波妞 提拉米蘇
阿瑩斤餅專門店,350台灣苗栗縣竹南鎮大埔里大埔七街128號,https://www.google.com/maps/place/%E9%98%BF%E7%91%A9%E6%96%A4%E9%A4%85%E5%B0%88%E9%96%80%E5%BA%97/data=!4m2!3m1!1s0x34684d02de8e8b1f:0x55b5980a7e262a3c,其他,YTer,是,14.4,150,波妞
蟳仔肉 吉 蟳仔腳,300台灣新竹市北區北新街31號,https://www.google.com/maps/place/%E8%9F%B3%E4%BB%94%E8%82%89+%E5%90%89+%E8%9F%B3%E4%BB%94%E8%85%B3/data=!4m2!3m1!1s0x34683537fae1b247:0x9756f8949cefeb81,其他,YTer,是,2.16,150,波妞
